<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,D,180322,00:00:00,8715.0900000
BTC-USD,D,180323,00:00:00,8927.1000000
BTC-USD,D,180324,00:00:00,8531.3400000
BTC-USD,D,180325,00:00:00,8453.0000000
BTC-USD,D,180326,00:00:00,8145.0000000
BTC-USD,D,180327,00:00:00,7793.6100000
BTC-USD,D,180328,00:00:00,7942.7200000
BTC-USD,D,180329,00:00:00,7080.0000000
BTC-USD,D,180330,00:00:00,6848.0100000
BTC-USD,D,180331,00:00:00,6928.5000000
BTC-USD,D,180401,00:00:00,6816.0100000
BTC-USD,D,180402,00:00:00,7045.0100000
BTC-USD,D,180403,00:00:00,7424.9000000
BTC-USD,D,180404,00:00:00,6791.6800000
BTC-USD,D,180405,00:00:00,6785.8500000
BTC-USD,D,180406,00:00:00,6619.0100000
BTC-USD,D,180407,00:00:00,6894.0100000
BTC-USD,D,180408,00:00:00,7020.0100000
BTC-USD,D,180409,00:00:00,6771.1300000
BTC-USD,D,180410,00:00:00,6824.9900000
BTC-USD,D,180411,00:00:00,6942.9900000
BTC-USD,D,180412,00:00:00,7916.0000000
BTC-USD,D,180413,00:00:00,7893.1900000
BTC-USD,D,180414,00:00:00,8003.1100000
BTC-USD,D,180415,00:00:00,8355.2500000
BTC-USD,D,180416,00:00:00,8048.9300000
BTC-USD,D,180417,00:00:00,7892.1000000
BTC-USD,D,180418,00:00:00,8152.0500000
BTC-USD,D,180419,00:00:00,8274.0000000
BTC-USD,D,180420,00:00:00,8866.2700000
BTC-USD,D,180421,00:00:00,8915.4200000
BTC-USD,D,180422,00:00:00,8795.0100000
BTC-USD,D,180423,00:00:00,8931.3000000
BTC-USD,D,180424,00:00:00,9645.1000000
BTC-USD,D,180425,00:00:00,8865.9800000
BTC-USD,D,180426,00:00:00,9272.1100000
BTC-USD,D,180427,00:00:00,8922.5500000
BTC-USD,D,180428,00:00:00,9329.9900000
BTC-USD,D,180429,00:00:00,9389.0100000
BTC-USD,D,180430,00:00:00,9243.8300000
BTC-USD,D,180501,00:00:00,9072.2900000
BTC-USD,D,180502,00:00:00,9190.4800000
BTC-USD,D,180503,00:00:00,9725.7400000
BTC-USD,D,180504,00:00:00,9685.0000000
BTC-USD,D,180505,00:00:00,9800.0000000
BTC-USD,D,180506,00:00:00,9600.0000000
BTC-USD,D,180507,00:00:00,9353.0000000
BTC-USD,D,180508,00:00:00,9177.8200000
BTC-USD,D,180509,00:00:00,9300.0800000
BTC-USD,D,180510,00:00:00,9010.5100000
BTC-USD,D,180511,00:00:00,8403.3300000
BTC-USD,D,180512,00:00:00,8475.0000000
BTC-USD,D,180513,00:00:00,8686.1000000
BTC-USD,D,180514,00:00:00,8670.0000000
BTC-USD,D,180515,00:00:00,8477.4600000
BTC-USD,D,180516,00:00:00,8344.0000000
BTC-USD,D,180517,00:00:00,8059.0000000
BTC-USD,D,180518,00:00:00,8238.5100000
BTC-USD,D,180519,00:00:00,8235.6000000
BTC-USD,D,180520,00:00:00,8516.8600000
BTC-USD,D,180521,00:00:00,8393.4400000
BTC-USD,D,180522,00:00:00,7987.7000000
BTC-USD,D,180523,00:00:00,7505.0000000
BTC-USD,D,180524,00:00:00,7584.1500000
BTC-USD,D,180525,00:00:00,7459.1100000
BTC-USD,D,180526,00:00:00,7337.9500000
BTC-USD,D,180527,00:00:00,7346.6400000
BTC-USD,D,180528,00:00:00,7107.9400000
BTC-USD,D,180529,00:00:00,7460.0000000
BTC-USD,D,180530,00:00:00,7380.0100000
BTC-USD,D,180531,00:00:00,7485.0000000
BTC-USD,D,180601,00:00:00,7514.3200000
BTC-USD,D,180602,00:00:00,7636.4200000
BTC-USD,D,180603,00:00:00,7706.3700000
BTC-USD,D,180604,00:00:00,7487.3700000
BTC-USD,D,180605,00:00:00,7612.5100000
BTC-USD,D,180606,00:00:00,7655.0000000
BTC-USD,D,180607,00:00:00,7684.9300000
BTC-USD,D,180608,00:00:00,7618.8000000
BTC-USD,D,180609,00:00:00,7496.4000000
BTC-USD,D,180610,00:00:00,6770.3100000
BTC-USD,D,180611,00:00:00,6881.0000000
BTC-USD,D,180612,00:00:00,6545.0000000
BTC-USD,D,180613,00:00:00,6302.3100000
BTC-USD,D,180614,00:00:00,6638.4900000
BTC-USD,D,180615,00:00:00,6391.2200000
BTC-USD,D,180616,00:00:00,6484.2900000
BTC-USD,D,180617,00:00:00,6447.1600000
BTC-USD,D,180618,00:00:00,6709.0200000
BTC-USD,D,180619,00:00:00,6736.4100000
BTC-USD,D,180620,00:00:00,6759.1800000
BTC-USD,D,180621,00:00:00,6719.0100000
BTC-USD,D,180622,00:00:00,6059.8200000
BTC-USD,D,180623,00:00:00,6178.2900000
BTC-USD,D,180624,00:00:00,6149.9900000
BTC-USD,D,180625,00:00:00,6246.0100000
BTC-USD,D,180626,00:00:00,6074.0000000
BTC-USD,D,180627,00:00:00,6132.1700000
BTC-USD,D,180628,00:00:00,5851.6600000
BTC-USD,D,180629,00:00:00,6202.3600000
BTC-USD,D,180630,00:00:00,6383.1900000
BTC-USD,D,180701,00:00:00,6349.5000000
BTC-USD,D,180702,00:00:00,6611.7900000
BTC-USD,D,180703,00:00:00,6502.6200000
BTC-USD,D,180704,00:00:00,6587.4700000
BTC-USD,D,180705,00:00:00,6532.9500000
BTC-USD,D,180706,00:00:00,6600.0000000
BTC-USD,D,180707,00:00:00,6753.2800000
BTC-USD,D,180708,00:00:00,6701.9700000
BTC-USD,D,180709,00:00:00,6664.0100000
BTC-USD,D,180710,00:00:00,6303.7000000
BTC-USD,D,180711,00:00:00,6390.0400000
BTC-USD,D,180712,00:00:00,6249.7500000
BTC-USD,D,180713,00:00:00,6216.2900000
